PartitionKey,RowKey,Value,Value@type,Description,Description@type,SampleValue,businessDays,businessDays@type,endTime,endTime@type,region,region@type,startTime,startTime@type,LastModifiedBy,LastModifiedBy@type,targetDay,targetDay@type,targetHour,targetHour@type,targetMinute,targetMinute@type,targetTimezone,targetTimezone@type,Validation
AuthScan,QualysScan,,String,"Defines the polling intervals, in seconds, that the workflow uses when checking the status of a Qualys scan. Enter the intervals as a list in the order they should be used by the workflow.",,"[300,180,120,60]",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers representing polling intervals in seconds.
AuthScan,QualysScanStatusCheck:maxRetryCount,,String,Defines the maximum number of times the workflow should retry checking the Qualys scan status before treating the status check as unsuccessful. Enter a whole number.,String,10,,,,,,,,,,,,,,,,,,,Must be a whole number greater than or equal to 0.
BusinessDay,WorkingDayandHour,,,"Defines the working days and business-hour window used by the business-day calculation. Configure the working days, start time, end time, and region in the corresponding configuration fields.",,," [1,2,3,4,5]",String,18:00:00,String,IN,String,05:00:00,String,,,,,,,,,,,businessDays must contain day numbers 1-7; startTime and endTime must use HH:mm:ss; region must be a configured region.
BusinessDays,DefaultBusinessHoursEnd,,String,Defines the default end time of the business-day working-hours window. Enter the time using HH:MM:SS format.,String,17:00:00,,,,,,,,,loganathan.s,String,,,,,,,,,Must use HH:mm:ss format (24-hour time).
BusinessDays,DefaultBusinessHoursStart,,String,Defines the default start time of the business-day working-hours window. Enter the time using HH:MM:SS format.,String,09:00:00,,,,,,,,,loganathan.s,String,,,,,,,,,Must use HH:mm:ss format (24-hour time).
BusinessDays,DefaultRegion,,String,Defines the default region whose business-day and holiday calendar is used when no specific region is provided.,String,Global,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a configured region name.
BusinessDays,DefaultTimeZone,,String,Defines the default time zone used when calculating business hours and business days. Use a valid IANA time-zone name.,String,UTC,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid IANA time-zone name.
BusinessDays,DefaultWorkingDays,,String,"Defines the default working days used by the workflow. Use numbers from 1 to 7, where 1 is Monday and 7 is Sunday, and enter the selected days as a list.",String,"[1,2,3,4,5]",,,,,,,,,loganathan.s,String,,,,,,,,,Must be a list containing only whole numbers 1-7.
BusinessDays:Regions,APAC:BusinessHoursEnd,,String,Defines the end time of the business-hours window for the APAC region. Enter the time using HH:MM:SS format.,String,17:00:00,,,,,,,,,loganathan.s,String,,,,,,,,,Must use HH:mm:ss format (24-hour time).
BusinessDays:Regions,APAC:BusinessHoursStart,,String,Defines the start time of the business-hours window for the APAC region. Enter the time using HH:MM:SS format.,String,09:00:00,,,,,,,,,loganathan.s,String,,,,,,,,,Must use HH:mm:ss format (24-hour time).
BusinessDays:Regions,APAC:TimeZone,,String,Defines the time zone used for business-day calculations in the APAC region. Use a valid IANA time-zone name.,String,Asia/Singapore,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid IANA time-zone name.
BusinessDays:Regions,APAC:WorkingDays,,String,"Defines the working days used for the APAC region. Use numbers from 1 to 7, where 1 is Monday and 7 is Sunday, and enter the selected days as a list.",String,"[1,2,3,4,5]",,,,,,,,,loganathan.s,String,,,,,,,,,Must be a list containing only whole numbers 1-7.
BusinessDays:Regions,Europe:BusinessHoursEnd,,String,Defines the end time of the business-hours window for the Europe region. Enter the time using HH:MM:SS format.,String,17:00:00,,,,,,,,,loganathan.s,String,,,,,,,,,Must use HH:mm:ss format (24-hour time).
BusinessDays:Regions,Europe:BusinessHoursStart,,String,Defines the start time of the business-hours window for the Europe region. Enter the time using HH:MM:SS format.,String,09:00:00,,,,,,,,,loganathan.s,String,,,,,,,,,Must use HH:mm:ss format (24-hour time).
BusinessDays:Regions,Europe:TimeZone,,String,Defines the time zone used for business-day calculations in the Europe region. Use a valid IANA time-zone name.,String,Europe/London,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid IANA time-zone name.
BusinessDays:Regions,Europe:WorkingDays,,String,"Defines the working days used for the Europe region. Use numbers from 1 to 7, where 1 is Monday and 7 is Sunday, and enter the selected days as a list.",String,"[1,2,3,4,5]",,,,,,,,,loganathan.s,String,,,,,,,,,Must be a list containing only whole numbers 1-7.
BusinessDays:Regions,US:BusinessHoursEnd,,String,Defines the end time of the business-hours window for the US region. Enter the time using HH:MM:SS format.,String,17:00:00,,,,,,,,,loganathan.s,String,,,,,,,,,Must use HH:mm:ss format (24-hour time).
BusinessDays:Regions,US:BusinessHoursStart,,String,Defines the start time of the business-hours window for the US region. Enter the time using HH:MM:SS format.,String,09:00:00,,,,,,,,,loganathan.s,String,,,,,,,,,Must use HH:mm:ss format (24-hour time).
BusinessDays:Regions,US:TimeZone,,String,Defines the time zone used for business-day calculations in the US region. Use a valid IANA time-zone name.,String,America/New_York,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid IANA time-zone name.
BusinessDays:Regions,US:WorkingDays,,String,"Defines the working days used for the US region. Use numbers from 1 to 7, where 1 is Monday and 7 is Sunday, and enter the selected days as a list.",String,"[1,2,3,4,5]",,,,,,,,,loganathan.s,String,,,,,,,,,Must be a list containing only whole numbers 1-7.
FollowUp,EscalationLevels,,String,Defines the recipients and notification template used for each follow-up escalation level. Provide the configuration as the expected JSON-style object mapping each escalation level to its recipients and template.,String,"{1:{Recipients:[primary-assignee],Template:Standard},2:{Recipients:[primary-assignee,team-lead],Template:Escalation},3:{Recipients:[primary-assignee,team-lead,manager],Template:HighPriority}}",,,,,,,,,loganathan.s,String,,,,,,,,,Must be a JSON-style list of positive whole numbers.
FollowUp,InitialIntervalHours,,Int32,Defines how many hours the workflow waits before sending the first follow-up notification. Enter a whole number representing hours.,String,12,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a whole number greater than or equal to 0.
FollowUp,MaxFollowUpCount,,Int32,Defines the maximum number of follow-up notifications that can be sent before the workflow performs the final escalation. Enter a whole number.,String,3,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a whole number greater than or equal to 0.
FollowUp,NotificationTemplates,,String,"Defines the notification subject and importance used for each follow-up type. Provide the configuration as the expected JSON-style object containing the Standard, Escalation, and HighPriority templates.",String,"{Standard:{Subject:Reminder: Action Required - {TaskName},Importance:Normal},Escalation:{Subject:ESCALATION: Overdue Action - {TaskName},Importance:High},HighPriority:{Subject:URGENT: Critical Overdue Action - {TaskName},Importance:High}}",,,,,,,,,loganathan.s,String,,,,,,,,,"Must be a valid JSON-style object containing Standard, Escalation and HighPriority templates with Subject and Importance."
FollowUp,QueueSettings:FollowupQueue,,String,Defines the Azure Storage Queue name used to schedule and process follow-up activities. Enter the queue name configured for the environment.,String,followupqueue,,,,,,,,,loganathan.s,String,,,,,,,,,"Must be a valid Azure Storage Queue name (lowercase letters, numbers and hyphens; 3-63 characters)."
FollowUp,SubsequentIntervalHours,,Int32,Defines how many hours the workflow waits between subsequent follow-up notifications. Enter a whole number representing hours.,String,24,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a whole number greater than or equal to 0.
Notification,DefaultChannels,,String,"Defines the notification channels used by default when no specific channel is configured. Enter the supported channels as a list, such as Email and Teams.",String,"[Email, Teams]",,,,,,,,,loganathan.s,String,,,,,,,,,Must be a list containing supported notification channels such as Email and Teams.
Notification,EmailSettings:FromAddress,,String,Defines the sender email address used for email notifications. Enter a valid email address that is permitted to send notifications.,String,security-notifications@contoso.com,,,,,,,,,loganathan.s,String,,,,,,,,,Must be one valid email address.
Notification,EmailSettings:SMTPServer,,String,Defines the SMTP server hostname used for email notification delivery. Enter the SMTP server name configured for the environment.,String,smtp.contoso.com,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid SMTP server hostname.
Notification,QueueSettings:NotificationQueue,,String,Defines the Azure Storage Queue name used to deliver notification requests. Enter the queue name configured for the environment.,String,notificationqueue,,,,,,,,,loganathan.s,String,,,,,,,,,"Must be a valid Azure Storage Queue name (lowercase letters, numbers and hyphens; 3-63 characters)."
Notification,TeamsSettings:WebhookUrl,,String,Defines the Microsoft Teams webhook URL used to deliver Teams notifications. Enter the webhook URL provided for the target Teams channel.,String,https://contoso.webhook.office.com/webhookb2/...,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid HTTPS URL.
Remediation,High-Critical-Emergency,,,"Defines the remediation schedule for High, Critical, and Emergency severity items. Configure the target day, hour, minute, and time zone in the corresponding scheduling fields.",,,,,,,,,,,,,Sunday,String,14,String,0,String,IST,String,targetDay must be a valid weekday; targetHour must be 0-23; targetMinute must be 0-59; targetTimezone must be a valid timezone.
Remediation,Low-Medium,,,"Defines the remediation schedule for Low and Medium severity items. Configure the target day, hour, minute, and time zone in the corresponding scheduling fields.",,,,,,,,,,,,,Monday,String,05,String,00,String,IST,String,targetDay must be a valid weekday; targetHour must be 0-23; targetMinute must be 0-59; targetTimezone must be a valid timezone.
Remediation,QualysScan,,String,"Defines the polling intervals, in seconds, that the remediation workflow uses when checking the status of a Qualys scan. Enter the intervals as a list in the order they should be used.",,"[300,180,120,60]",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers representing polling intervals in seconds.
Remediation,reportPollingInterval,,String,Defines the number of seconds between checks to determine whether the Qualys report is ready after the report launch request. Enter a whole-number interval in seconds.,String,30,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a whole number greater than 0 representing seconds.
Reporting,ReportTemplateId,,String,Defines the Qualys report template ID used to generate scan reports. Enter the report template identifier configured for the environment.,String,90548452,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a positive whole-number Qualys report template ID.
Reporting,maxTriagingDays,,String,Defines the maximum number of days allowed for Scope Triaging. Enter a whole number representing the allowed number of days.,String,5,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a whole number greater than or equal to 0.
Reporting,reportPollingInterval,,String,Defines the number of seconds between checks to determine whether the Qualys report is ready after the report launch request. Enter a whole-number interval in seconds.,String,30,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a whole number greater than 0 representing seconds.
Reporting-DataCollection,EscalationLevels,,String,"Defines the escalation levels, in days or workflow escalation stages as configured by the process, for Reporting Data Collection follow-ups. Enter the required levels as a list.",,"[3,6,9] ",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
Reporting-DataCollection,ReminderInterval,,String,Defines the reminder intervals used for Reporting Data Collection follow-ups. Enter the required intervals as a list in the order expected by the workflow.,,"[2,1,1]",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
ScopeTriaging-Report,EscalationLevels,,String,Defines the escalation levels used for Scope Triaging report follow-ups. Enter the required levels as a list in the order expected by the workflow.,,"[1,6,9] ",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
ScopeTriaging-Report,ReminderInterval,,String,Defines the reminder intervals used for Scope Triaging report follow-ups. Enter the required intervals as a list in the order expected by the workflow.,,"[5,1,1]",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
ScopeValidate-Report,EscalationLevels,,String,Defines the escalation levels used for Scope Validation report follow-ups. Enter the required levels as a list in the order expected by the workflow.,,"[3,6,9] ",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
ScopeValidate-Report,ReminderInterval,,String,Defines the reminder intervals used for Scope Validation report follow-ups. Enter the required intervals as a list in the order expected by the workflow.,,"[2,1,1]",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
Scoping,Approvals:DefaultTimeout,,String,Defines the action taken when an approval request reaches its configured timeout without a response. Enter the supported timeout action for the environment.,String,Include,,,,,,,,,loganathan.s,String,,,,,,,,,Must be one of the supported approval timeout actions configured for the workflow.
Scoping,CMDB:ExcludeFilter,,String,Defines the ServiceNow CMDB filter conditions used to exclude records from CMDB data retrieval. Enter the conditions using the ServiceNow encoded-query format expected by the workflow.,String,Support group=Horizon_CloudOps_Support^Subcategory=Computer^Sub Value Stream=Diageo India^Support group=DIN*^Support group=Global Claroty CTD Support^Support group=Global Claroty SRA Support^Support group=Wipro Global Network Data^Support group=DXC^IP Address=10.101.56.96^IP Address=10.101.56.95^IP Address=10.102.201.135^IP Address=10.102.201.90^IP Address=10.10.26.104^IP Address=10.102.6.37^IP Address=10.102.6.36^IP Address=0.0.0.0^IP Address=10.114.198.80^Install Status=*Decommisioned^IP Address=10.2.216.199^IP Address=172.20.145.241^IP Address=172.20.145.12^IP Address=172.20.145.230^IP Address=10.23.198.243^IP Address=10.23.198.232^IP Address=10.23.198.234^IP Address=10.23.198.241^IP Address=10.23.198.252^IP Address=10.23.198.254^IP Address=10.22.63.131^IP Address=10.22.63.195^IP Address=10.23.198.245^IP Address=10.22.63.10^IP Address=10.22.63.11^IP Address=10.22.63.163^IP Address=10.22.62.70^IP Address=10.22.62.71^IP Address=10.22.62.19^IP Address=10.23.198.244^IP Address=10.23.198.132^IP Address=10.2.162.228^IP Address=10.2.160.10^IP Address=172.21.107.227^IP Address=10.2.171.117^IP Address=10.2.171.120^IP Address=10.2.171.119^IP Address=10.2.170.19^IP Address=10.2.170.20^IP Address=10.10.7.213^IP Address=10.101.32.4^IP Address=10.101.32.5^IP Address=10.101.32.6^IP Address=10.101.242.141^IP Address=10.101.56.132^IP Address=10.101.56.133^IP Address=10.102.236.139^IP Address=10.102.240.104^IP Address=10.102.220.22^IP Address=10.102.220.24^IP Address=10.101.32.36^IP Address=10.101.32.37^IP Address=10.101.16.180^IP Address=10.102.236.16^IP Address=10.102.236.6^IP Address=10.102.240.5^IP Address=10.102.240.6^IP Address=10.101.98.84^IP Address=10.101.100.21^IP Address=10.101.32.100^IP Address=10.102.2.229^IP Address=10.101.99.180^IP Address=10.101.97.198^IP Address=10.101.97.199^IP Address=10.101.220.20^IP Address=10.101.220.36^IP Address=10.101.220.6^IP Address=10.101.2^IP Address=10.50.20.196^IP Address=10.50.20.197^IP Address=10.50.20.199^IP Address=10.50.20.200^IP Address=10.101.254.116,,,,,,,,,,,,,,,,,,,Must be a valid ServiceNow encoded-query filter.
Scoping,CMDB:Fields,,String,Defines the list of ServiceNow CMDB fields retrieved during CMDB data collection. Enter the required field names as a comma-separated list.,String,"IP Address,Name,Owned by,Value Stream,Sub Value Stream,Operating System,Install Status,Classification,Server Tier,Class,Application Notes,Support group,Location,Category,Subcategory,Attributes,Assigned to,Operational status,Host name,Tags,Asset tag,Company",,,,,,,,,,,,,,,,,,,Must be a comma-separated list of CMDB field names.
Scoping,CMDB:Filter,,String,Defines the ServiceNow CMDB filter conditions used to select records for CMDB data retrieval. Enter the conditions using the ServiceNow encoded-query format expected by the workflow.,String,Install Status=In Use^Operational status=Operational,,,,,,,,,,,,,,,,,,,Must be a valid ServiceNow encoded-query filter.
Scoping,CMDB:Limit,,String,Defines the maximum number of CMDB records retrieved in a data collection operation. Enter a whole number representing the record limit.,String,2000,,,,,,,,,,,,,,,,,,,Must be a whole number greater than 0.
Scoping,CMDBSource:TableName,,String,Defines the ServiceNow CMDB table used as the source for server configuration data. Enter the table name configured for the environment.,String,cmdb_ci_server,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid ServiceNow table name.
